Titel,Vorname,Nachname,Funktion,Annotator,ID,Fakultaet,Institut,Kommentar
Prof. Dr. jur.,Uwe,Kischel,"Lehrstuhlinhaber - Lehrstuhl für Öffentliches Recht, Europarecht und Rechtsvergleichung (Nordosteuropa), Mercator-Stiftungslehrstuhl",NJ,23415830,RSF,Fachbereich Rechtswissenschaften,"Öffentliches Recht, weitere Publikationene auf Webseite"
Prof. Dr.,Kilian Peter,Heck,Lehrstuhlinhaber - Kunstgeschichte (Allgemeine Kunstgeschichte),NJ,8456107,CSFI,Caspar-David-Friedrich-Institut,"Kunstgeschichte, weitere Publikationen auf Uni-Webseite"
Prof. Dr.,Klaus,Beck,Lehrstuhlinhaber - Kommunikationswissenschaft,NJ,,PHIL,Institut für Politik- und Kommunikationswissenschaft,"no Match on WebOfScience, Publikationen auf Webseite"
Prof. Dr.,Leander,Kempen,Professor - Mathematik und Informatik,NJ,23161498,MNF,Institut für Mathematik und Informatik,
Prof. Dr.,Lutz,Schweikhard,Lehrstuhlinhaber - Atom- und Molekülphysik,NJ,2360917,MNF,Institut für Physik,
Prof. Dr.,Markus,Münzenberg,Lehrstuhlinhaber - Grenz- und Oberflächenphysik,NJ,12417651,MNF,Institut für Physik,
Prof. Dr.,Matthias,Schneider,"Lehrstuhlinhaber - Kirchenmusik/Orgel, Gf. Direktor - Institut für Kirchenmusik und Musikwissenschaft",NJ,34436052,PHIL,Institut für Kirchenmusik und Musikwissenschaft,
Prof. Dr.,Michael,Höhle,Professor - Mathematik und Informatik,FB,1683686,MNF,Institut für Mathematik und Informatik,
Prof. Dr.,Mihaela,Delcea,Professorin - Biophysikalische Chemie,FB,1690610,MNF,Institut für Biochemie,
Prof. Dr.,Oliver,von Bohlen und Halbach,Professor - Institut für Anatomie und Zellbiologie,FB,759114,MNF,Institut für Anatomie und Zellbiologie,
Prof. Dr.,Per,Helander,"Professor - Max-Planck-Institut für Plasmaphysik, Greifswald",FB,22341702,MNF,Max-Planck-Institut für Plasmaphysik,
Prof. Dr. phil.,Christer,Lindqvist,Lehrstuhlinhaber - Skandinavistische Sprachwissenschaft,FB,11278775,PHIL,Institut für Fennistik und Skandinavistik,
Prof. Dr. phil.,Cordelia,Heß,"Gf. Direktorin - Historisches Institut, Lehrstuhlinhaberin - Nordische Geschichte",FB,22009360,PHIL,Historisches Institut,
Prof. Dr. phil.,Eckhard,Schumacher,"Lehrstuhlinhaber - Neuere Deutsche Literatur und Literaturtheorie, Prorektor - Universität Greifswald, Stellv. Direktor - Institut für Deutsche Philologie",FB,27978917,PHIL,Institut für Deutsche Philologie,
Prof. Dr. phil.,Hartmut,Lutz,Lehrstuhlinhaber - Amerikanistik/Kanadistik,FB,24618944,PHIL,Institut für Anglistik und Amerikanistik,im Ruhestand
Prof. Dr. phil.,Helmut,Klüter,Professor - 227,FB,,MNF,Institut für Geographie und Geologie,"im Ruhestand, finde nur einen Harald Klüter"
Prof. Dr. phil.,Hubertus,Buchstein,Lehrstuhlinhaber - Politische Theorie und Ideengeschichte,FB,5548040,PHIL,Institut für Politik- und Kommunikationswissenschaft,
Prof. Dr. phil.,Jürgen,Schiewe,"Gf. Direktor - Institut für Deutsche Philologie, Lehrstuhlinhaber - Germanistische Sprachwissenschaft",FB,27932947,PHIL,Institut für Deutsche Philologie,
Prof. Dr. phil.,Karl-Heinz,Spieß,"Lehrstuhlinhaber - Allgemeine Geschichte des Mittelalters, Emeritierter Prof - Allgemeine Geschichte des Mittelalters",FB,16251703,PHIL,Historisches Institut,im Ruhestand
Prof. Dr. phil.,Konstanze,Marx,Lehrstuhlinhaberin - Germanistische Sprachwissenschaft,FB,11581584,PHIL,Institut für Deutsche Philologie,
Prof. Dr. phil.,Manfred,Niemeyer,Professor - Slawische Sprachwissenschaft,FB,,PHIL,Institut für Slawistik,"im Ruhestand, nicht gefunden"
Prof. Dr. phil.,Mathias,Niendorf,"Lehrstuhlinhaber - Osteuropäische Geschichte, Lehrstuhlinhaberin - Historisches Institut",FB,26232743,PHIL,Historisches Institut,
Prof. Dr. phil.,Micha Holm,Werner,"Lehrstuhlinhaber - Praktische Philosophie, Gf. Direktor - Institut für Philosophie",FB,15091152,PHIL,Institut für Philosophie,
Prof. Dr. phil.,Monika,Unzeitig,"Stellv. Direktorin - Institut für Deutsche Philologie, Lehrstuhlinhaberin - Ältere Deutsche Sprache und Literatur",FB,29940551,PHIL,Institut für Deutsche Philologie,
Prof. Dr. phil.,Rainer,Reisenzein,Professor - 210,FB,"35093486, 15750930",MNF,Institut für Psychologie,mehrere web of science records mit etwa gleich vielen publikationen
Prof. Dr. phil.,Reinhard,Bach,"Professor - Französische Sprachwissenschaft, Gf. Direktor - Romanistik, Studienfachberater - Romanistik",FB,4998395,PHIL,Institut für Romanistik,sehr kleines Institut ohne eigene Seite
Prof. Dr. phil.,Sebastian,Domsch,"Lehrstuhlinhaber - Anglophone Literaturwissenschaften (incl. Cultural Studies), Gf. Direktor - Institut für Anglistik/Amerikanistik",FB,7011797,PHIL,Institut für Anglistik und Amerikanistik,
Prof. Dr. phil.,Silke,Jahr,Lehrstuhlinhaberin - Deutsch als Fremdsprache,,,,,
