[06/06/2023 13:57:23]	Error: Page "https://www.webofscience.com/wos/author/record/2892727" loading timeout.
[06/06/2023 13:57:40]	Extracted 19 links.
[06/06/2023 13:57:40]	Filtered to 0 links.
[06/06/2023 13:57:40]	Page "https://www.webofscience.com/wos/author/record/1177820" loaded successfully.
[06/06/2023 13:57:44]	Extracted 161 links.
[06/06/2023 13:57:44]	Filtered to 50 links.
[06/06/2023 13:57:44]	Page "https://www.webofscience.com/wos/author/record/1421103" loaded successfully.
[06/06/2023 13:57:48]	Extracted 164 links.
[06/06/2023 13:57:48]	Filtered to 50 links.
[06/06/2023 13:57:48]	Page "https://www.webofscience.com/wos/author/record/2053866" loaded successfully.
[06/06/2023 13:57:53]	Extracted 159 links.
[06/06/2023 13:57:53]	Filtered to 50 links.
[06/06/2023 13:57:53]	Page "https://www.webofscience.com/wos/author/record/394932" loaded successfully.
[06/06/2023 13:57:58]	Extracted 165 links.
[06/06/2023 13:57:58]	Filtered to 50 links.
[06/06/2023 13:57:58]	Page "https://www.webofscience.com/wos/author/record/1182517" loaded successfully.
[06/06/2023 13:58:03]	Extracted 163 links.
[06/06/2023 13:58:03]	Filtered to 50 links.
[06/06/2023 13:58:03]	Page "https://www.webofscience.com/wos/author/record/2064064" loaded successfully.
[06/06/2023 13:58:08]	Extracted 120 links.
[06/06/2023 13:58:08]	Filtered to 35 links.
[06/06/2023 13:58:08]	Page "https://www.webofscience.com/wos/author/record/2041566" loaded successfully.
[06/06/2023 13:58:13]	Extracted 163 links.
[06/06/2023 13:58:13]	Filtered to 50 links.
[06/06/2023 13:58:13]	Page "https://www.webofscience.com/wos/author/record/1833895" loaded successfully.
[06/06/2023 13:58:18]	Extracted 168 links.
[06/06/2023 13:58:18]	Filtered to 50 links.
[06/06/2023 13:58:18]	Error: Page "https://www.webofscience.com/wos/author/record/10462691" loading timeout.
[06/06/2023 13:58:35]	Extracted 19 links.
[06/06/2023 13:58:35]	Filtered to 0 links.
[06/06/2023 13:58:35]	Error: Page "https://www.webofscience.com/wos/author/record/29340731" loading timeout.
[06/06/2023 13:58:52]	Extracted 19 links.
[06/06/2023 13:58:52]	Filtered to 0 links.
[06/06/2023 13:58:52]	Page "https://www.webofscience.com/wos/author/record/653208" loaded successfully.
[06/06/2023 13:58:56]	Extracted 147 links.
